what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1325751228443
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1325751228444
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1325751228451
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1325751228451
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1325751228452
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1325751228452
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1325751228453
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1325751228453
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1325751228453
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1325751228453
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1325751228454
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1325751228454
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1325751228455
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1325751228456
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1325751228456
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1325751228457
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1325751228457
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1325751228458
os,sysinfo,,,"macosx",1325751228461
arch,sysinfo,,,"x86_64",1325751228461
ws,sysinfo,,,"cocoa",1325751228461
locale,sysinfo,,,"fr_FR",1325751228461
processors,sysinfo,,,"4",1325751228461
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1325751228461
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11M3527",1325751228461
java.specification.name,sysinfo,,,"Java Platform API Specification",1325751228461
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325751228461
java.specification.version,sysinfo,,,"1.6",1325751228461
java.vendor,sysinfo,,,"Apple Inc.",1325751228461
java.version,sysinfo,,,"1.6.0_29",1325751228461
java.vm.info,sysinfo,,,"mixed mode",1325751228461
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1325751228461
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1325751228461
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1325751228461
java.vm.specification.version,sysinfo,,,"1.0",1325751228461
java.vm.vendor,sysinfo,,,"Apple Inc.",1325751228461
java.vm.version,sysinfo,,,"20.4-b02-402",1325751228461
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1325751228464
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325751233359
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1325751233376
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1325751233388
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1325751247362
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1325751247374
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20110509,"org.eclipse.jdt.launching.macosx",1325751247379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751248431
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1325751267011
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1325751267310
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1325751267327
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1325751267340
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1325751267347
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1325751267354
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751267520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751281533
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751368160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751369436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751373248
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751374683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751376233
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1325751376314
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1325751376793
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1325751376798
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1325751376904
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1325751376905
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1325751376906
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1325751376906
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1325751376907
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1325751376907
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1325751376908
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1325751376908
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1325751376909
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1325751376909
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1325751376910
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1325751376910
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1325751376910
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1325751376910
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1325751376910
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1325751376910
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1325751376911
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1325751376911
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1325751376911
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1325751376933
